"Hood_ID","Assault","Auto.Theft","Break.and.Enter","Robbery","Theft.Over","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
"65",0.0262190469584518,0.00402302836928626,0.0115835472012208,0.00388430325310397,0.00173406395227856,14417,21.548,46206,19.7,6.606,2.33,3.433,39.117,40.545,97.934,16.436,22.725,60.839,7.2,9.052
"66",0.0546244568590937,0.00475894889302711,0.0201738050900062,0.0131388371611835,0.00237947444651355,9666,16.016,55225,14.2,7.035,2.45,1.5,25.847,35.623,98.473,18.113,21.006,60.881,6.2,9.466
"67",0.0392106611993849,0.0039723218862122,0.0199897488467453,0.0079446437724244,0.00140953357252691,7804,13.953,70831,13.6,7.26,3.076,1.41,20.419,53.631,98.741,9.784,18.336,71.803,6.4,9.29
"68",0.0130077207116482,0.00218194024840551,0.0105740181268882,0.00864384021483719,0.00100704934541793,11916,15.605,73253,10.9,5.57,1.627,1.804,24.101,44.012,97.902,10.683,19.004,70.313,5.3,9.819
"69",0.0270480134592986,0.00207066131745826,0.0090591432638799,0.00569431862301022,0.000388248997023424,7727,25.537,48511,24.5,6.116,2.733,4.918,38.517,45.847,97.444,18.725,21.434,59.92,8.5,11.453
"70",0.0273712153824078,0.00326445688047066,0.0142057684029272,0.00613430908308222,0.0026546132874157,27876,19.199,53803,18.7,8.523,2.959,4.197,41.505,40.083,80.381,17.495,20.821,61.685,6.5,8.789
"71",0.0372782586339875,0.00359928014397121,0.0227954409118176,0.00899820035992801,0.00197103436455566,11669,14.672,63012,20.8,9.368,3.321,3.042,28.844,55.702,70.474,7.56,20.275,72.361,8,8.827
"72",0.0445246690734055,0.00323984078496714,0.0119411274645932,0.00684994908821624,0.0017587707118393,10803,29.209,34597,42.3,12.319,5.246,12.404,69.977,74.672,58.77,20.674,25.815,53.455,9.6,16.431
"73",0.0756363991027016,0.00385253096654638,0.0234077830878767,0.0224324587925485,0.00273090802691895,20506,18.807,58915,31.9,11.999,5.121,7.754,42.579,66.032,54.435,9.865,20.053,70.112,6.9,9.973
"74",0.0372280419016922,0.0032232070910556,0.0149879129734085,0.00655385441847972,0.00177276390008058,18615,23.737,32648,36.5,25.225,13.756,9.777,66.848,90.063,86.349,12.691,23.67,63.639,10.4,12.168
"75",0.0958200382897256,0.00389278876834716,0.0230057434588385,0.0215060625398851,0.00453095086151883,31340,12.701,53583,26,18.426,6.5,3.318,41.049,70.416,49.505,4.193,18.938,76.835,8.5,16.082
"76",0.0733030972593712,0.00306237159359615,0.0158933209287902,0.00821800984610614,0.00542698763422103,25797,15.46,56526,37.7,32.91,8.885,1.841,62.195,67.938,28.723,2.924,23.977,73.12,10.2,26.612
"77",0.0448318237676938,0.0028370731115258,0.0114089785019647,0.00345910518410632,0.00289775916738731,65913,11.724,70600,16.5,16.496,7.208,2.928,44.034,58.71,12.342,3.065,13.454,83.465,5.2,11.857
"78",0.0853719699080524,0.00601838952354416,0.0217887991083867,0.015881861242686,0.00529395374756199,17945,25.702,37422,33.2,17.239,4.811,6.854,60.269,70.979,69.09,17.642,26.029,56.298,8.2,18.696
"79",0.078874720652031,0.00604706191665571,0.029709478112265,0.0164322334691731,0.00302353095832786,7607,15.302,50757,22.4,17.303,4.719,2.103,33.034,62.592,84.978,8.428,19.287,72.285,8.3,19.456
"80",0.0232171271517431,0.00499059742514104,0.0112107623318386,0.00484594242731086,0.00130189498047158,13826,15.18,58071,13.8,9.487,2.362,2.134,21.439,58.689,95.343,14.371,19.295,66.293,6.8,10.632
"81",0.0361802367721672,0.00350326165740517,0.0138922445035033,0.00440927760328582,0.00163082870258517,16556,17.305,50694,14.7,11.399,2.834,4.137,29.698,47.76,92.63,21.505,22.61,55.851,6.1,9.876
"82",0.0201731879409878,0.0022771007055805,0.00785760102629891,0.00150737652341244,0.00169980756895446,31180,12.439,70623,13.7,10.863,4.616,3.335,35.036,50.04,16.356,4.509,13.403,82.089,4.5,7.793
"83",0.0211285532456513,0.00220619431480696,0.0068731438268986,0.0058549002969877,0.00144251166737378,11785,16.865,40588,18,13.066,4.099,3.988,30.999,59.467,89.062,20.614,20.374,58.965,7.5,9.037
"84",0.0205026029950511,0.0028279452406967,0.00899800758403496,0.00199241596503631,0.000706986310174176,15559,17.44,45737,15.6,10.993,3.321,3.214,28.329,55.825,64.242,17.466,20.322,62.175,6.4,10.283
"85",0.0292461897569683,0.00265458373380933,0.00865028147741315,0.00425648771110806,0.00109844844157627,21849,25.222,35207,30.5,15.077,8.206,12.564,48.027,86.611,86.567,16.411,24.321,59.295,8.6,10.344
"86",0.0448777881661547,0.0041405102177107,0.0140910912247896,0.0082810204354214,0.00153599572592494,14974,16.712,50580,19.9,9.112,3.429,5.376,25.521,56.345,91.649,14.326,21.687,64.146,6.7,8.648
"87",0.0109508881922675,0.00200626959247649,0.00564263322884012,0.00284221525600836,0.00083594566353187,23925,15.366,71204,11.1,6.381,2.163,3.156,19.118,43.632,67.724,7.949,17.083,74.918,6,8.945
"88",0.0207562494359715,0.00180489125530187,0.00758054327226785,0.0061817525494089,0.000631711939355654,22162,15.459,57465,16.5,12.153,5.685,4.851,23.768,66.198,86.395,8.092,17.132,74.908,7.1,8.528
"89",0.0183714001986097,0.00635551142005958,0.01012909632572,0.00734856007944389,0.000595829195630586,10070,13.495,71888,6.9,5.216,1.688,2.036,15.889,21.363,99.476,11.97,17.269,70.636,5.1,9.484
"90",0.0284003898092719,0.00675205345955729,0.0109285813726855,0.00480300710009745,0.0013225671724906,14366,18.494,49709,13.5,6.856,2.451,4.873,29.535,40.796,83.9,14.125,20.917,64.917,5.6,10.058
"91",0.0310866822850964,0.00558659217877095,0.00657776175887547,0.00441520994773833,0.00153180753288881,11098,25.801,33528,20.4,13.21,3.336,7.794,37.979,41.42,96.686,32.856,27.495,39.597,8.5,12.75
"92",0.0262506191183754,0.00332555013089931,0.00714639496214533,0.00764168966249204,0.000707563857638152,14133,20.677,41717,13.4,13.466,3.97,3.219,25.142,37.33,95.822,27.787,23.566,48.566,7.2,10.826
